x (arbitrary),Main_Ped_Sens, Pot
1049,326,468
1050,326,468
1051,326,469
1052,326,469
1053,326,469
1054,326,469
1055,326,469
1056,326,468
1057,326,469
1058,326,469
1059,326,469
1060,326,469
1061,326,469
1062,326,469
1063,326,469
1064,326,469
1065,326,469
1066,326,469
1067,326,469
1068,326,469
1069,326,469
1070,326,469
1071,326,469
1072,326,469
1073,326,469
1074,326,469
1075,326,469
1076,326,469
1077,326,469
1078,326,469
1079,326,469
1080,326,469
1081,326,469
1082,326,469
1083,326,469
1084,326,469
1085,326,469
1086,326,469
1087,326,469
1088,326,469
1089,326,468
1090,326,469
1091,326,469
1092,326,469
1093,326,468
1094,327,468
1095,326,469
1096,326,469
1097,327,469
1098,326,469
1099,326,469
1100,326,468
1101,326,468
1102,326,469
1103,326,469
1104,326,469
1105,326,469
1106,326,469
1107,326,469
1108,326,469
1109,326,469
1110,326,469
1111,326,469
1112,326,469
1113,326,469
1114,326,469
1115,326,469
1116,326,469
1117,326,469
1118,326,469
1119,326,468
1120,326,469
1121,326,468
1122,326,469
1123,326,469
1124,326,469
1125,326,469
1126,326,469
1127,326,469
1128,326,469
1129,326,469
1130,326,469
1131,326,469
1132,326,469
1133,326,468
1134,326,469
1135,326,469
1136,326,469
1137,326,469
1138,326,468
1139,326,468
1140,326,469
1141,326,469
1142,326,469
1143,326,468
1144,326,469
1145,326,469
1146,326,469
1147,326,469
1148,326,469
1149,326,469
1150,326,469
1151,326,468
1152,326,469
1153,326,469
1154,326,469
1155,326,469
1156,326,468
1157,326,469
1158,326,469
1159,326,469
1160,326,469
1161,326,469
1162,326,469
1163,326,469
1164,326,468
1165,326,469
1166,326,469
1167,326,469
1168,326,469
1169,326,469
1170,326,468
1171,326,469
1172,326,469
1173,326,469
1174,326,469
1175,326,469
1176,326,469
1177,326,469
1178,326,469
1179,326,469
1180,326,468
1181,326,469
1182,326,469
1183,326,469
1184,326,469
1185,326,469
1186,327,469
1187,326,469
1188,326,469
1189,326,469
1190,326,469
1191,326,469
1192,326,469
1193,326,468
1194,326,469
1195,326,468
1196,326,469
1197,326,469
1198,326,469
1199,326,469
1200,326,469
1201,326,468
1202,326,468
1203,326,469
1204,326,469
1205,326,469
1206,326,468
1207,326,469
1208,326,469
1209,326,469
1210,326,469
1211,326,468
1212,327,469
