Time,Main_Ped_Sens, Pot,Pot Modified,Ped Normalised,Pot Normalised,,,We proved that both 
385,523,426,504,0.332209106,0.318518519,,,
386,526,426,504,0.337268128,0.318518519,,,
387,528,425,505,0.340640809,0.325925926,,,
388,531,424,506,0.345699831,0.333333333,,,
389,534,424,506,0.350758853,0.333333333,,,
390,537,423,507,0.355817875,0.340740741,,,
391,540,423,507,0.360876897,0.340740741,,,
392,542,422,508,0.364249578,0.348148148,,,
393,545,421,509,0.3693086,0.355555556,,,
394,547,421,509,0.372681282,0.355555556,,,
395,551,420,510,0.379426644,0.362962963,,,
396,554,420,510,0.384485666,0.362962963,,,
397,556,419,511,0.387858347,0.37037037,,,
398,559,418,512,0.392917369,0.377777778,,,
399,562,418,512,0.397976391,0.377777778,,,
400,564,417,513,0.401349073,0.385185185,,,
401,568,417,513,0.408094435,0.385185185,,,
402,570,416,514,0.411467116,0.392592593,,,
403,573,415,515,0.416526138,0.4,,,
404,576,415,515,0.42158516,0.4,,,
405,579,414,516,0.426644182,0.407407407,,,
406,582,413,517,0.431703204,0.414814815,,,
407,585,413,517,0.436762226,0.414814815,,,
408,588,412,518,0.441821248,0.422222222,,,
409,592,411,519,0.44856661,0.42962963,,,
410,595,411,519,0.453625632,0.42962963,,,
411,598,410,520,0.458684654,0.437037037,,,
412,601,409,521,0.463743676,0.444444444,,,
413,604,409,521,0.468802698,0.444444444,,,
414,607,408,522,0.47386172,0.451851852,,,
415,610,407,523,0.478920742,0.459259259,,,
416,613,407,523,0.483979764,0.459259259,,,
417,616,406,524,0.489038786,0.466666667,,,
418,619,405,525,0.494097808,0.474074074,,,
419,622,404,526,0.49915683,0.481481481,,,
420,626,404,526,0.505902192,0.481481481,,,
421,629,403,527,0.510961214,0.488888889,,,
422,632,402,528,0.516020236,0.496296296,,,
423,635,401,529,0.521079258,0.503703704,,,
424,639,401,529,0.527824621,0.503703704,,,
425,642,400,530,0.532883642,0.511111111,,,
426,645,400,530,0.537942664,0.511111111,,,
427,648,400,530,0.543001686,0.511111111,,,
428,652,399,531,0.549747049,0.518518519,,,
429,654,398,532,0.55311973,0.525925926,,,
430,658,397,533,0.559865093,0.533333333,,,
431,661,396,534,0.564924115,0.540740741,,,
432,664,395,535,0.569983137,0.548148148,,,
433,668,395,535,0.576728499,0.548148148,,,
434,671,395,535,0.581787521,0.548148148,,,
435,674,394,536,0.586846543,0.555555556,,,
436,678,393,537,0.593591906,0.562962963,,,
437,682,392,538,0.600337268,0.57037037,,,
438,684,391,539,0.603709949,0.577777778,,,
439,687,391,539,0.608768971,0.577777778,,,
440,691,390,540,0.615514334,0.585185185,,,
441,695,390,540,0.622259696,0.585185185,,,
442,698,389,541,0.627318718,0.592592593,,,
443,702,388,542,0.634064081,0.6,,,
444,705,388,542,0.639123103,0.6,,,
445,709,387,543,0.645868465,0.607407407,,,
446,712,386,544,0.650927487,0.614814815,,,
447,716,385,545,0.65767285,0.622222222,,,
448,719,384,546,0.662731872,0.62962963,,,
449,722,384,546,0.667790894,0.62962963,,,
450,726,383,547,0.674536256,0.637037037,,,
451,729,382,548,0.679595278,0.644444444,,,
452,732,381,549,0.6846543,0.651851852,,,
453,737,380,550,0.693086003,0.659259259,,,
454,740,380,550,0.698145025,0.659259259,,,
455,744,379,551,0.704890388,0.666666667,,,
456,747,378,552,0.70994941,0.674074074,,,
457,750,378,552,0.715008432,0.674074074,,,
458,754,377,553,0.721753794,0.681481481,,,
459,758,376,554,0.728499157,0.688888889,,,
460,761,375,555,0.733558179,0.696296296,,,
461,765,375,555,0.740303541,0.696296296,,,
462,768,374,556,0.745362563,0.703703704,,,
463,772,373,557,0.752107926,0.711111111,,,
464,775,372,558,0.757166948,0.718518519,,,
465,779,371,559,0.76391231,0.725925926,,,
466,783,371,559,0.770657673,0.725925926,,,
467,786,370,560,0.775716695,0.733333333,,,
468,790,369,561,0.782462057,0.740740741,,,
469,794,368,562,0.78920742,0.748148148,,,
470,797,367,563,0.794266442,0.755555556,,,
471,801,366,564,0.801011804,0.762962963,,,
472,805,366,564,0.807757167,0.762962963,,,
473,807,365,565,0.811129848,0.77037037,,,
