Time (ms),Analogue Pedal Reading,Input PWM
4238,929,255
4241,929,255
4244,929,255
4246,929,255
4249,929,255
4252,929,255
4254,929,255
4257,930,255
4260,929,255
4262,929,255
4265,929,255
4269,929,255
4271,929,255
4274,929,255
4277,929,255
4279,929,255
4282,929,255
4285,929,255
4287,929,255
4290,929,255
4292,929,255
4295,929,255
4298,929,255
4300,929,255
4303,929,255
4306,930,255
4308,929,255
4312,929,255
4315,929,255
4317,929,255
4320,929,255
4323,929,255
4325,929,255
4328,930,255
4331,929,255
4333,929,255
4336,929,255
4339,929,255
4341,929,255
4344,929,255
4347,930,255
4349,929,255
4353,930,255
4356,929,255
4358,929,255
4361,929,255
4364,929,255
4366,929,255
4369,929,255
4372,929,255
4374,929,255
4377,929,255
4379,929,255
4382,929,255
4385,929,255
4387,929,255
4390,929,255
4393,929,255
4396,929,255
4399,929,255
4402,929,255
4404,929,255
4407,929,255
4410,930,255
4412,929,255
4415,929,255
4418,929,255
4420,929,255
4423,929,255
4426,930,255
4428,929,255
4431,929,255
4434,929,255
4436,930,255
4440,929,255
4443,929,255
4445,929,255
4448,929,255
4451,929,255
4453,929,255
4456,929,255
4459,929,255
4461,929,255
4464,929,255
4466,929,255
4469,929,255
4472,929,255
4474,930,255
4477,929,255
4481,929,255
4483,929,255
4486,929,255
4489,929,255
4491,929,255
4494,929,255
4497,929,255
4499,929,255
4502,929,255
4505,929,255
4507,929,255
4510,930,255
4513,929,255
4515,929,255
4518,929,255
4521,930,255
4524,930,255
4527,929,255
4530,929,255
4532,929,255
4535,929,255
4538,929,255
4540,929,255
4543,929,255
4546,930,255
4548,929,255
4551,929,255
4553,929,255
4556,929,255
4559,929,255
4561,929,255
4564,929,255
4568,929,255
4570,929,255
4573,930,255
4576,930,255
4578,929,255
4581,929,255
4584,929,255
4586,929,255
4589,929,255
4592,929,255
4594,929,255
4597,930,255
4600,929,255
4602,929,255
4605,929,255
4609,929,255
4611,929,255
4614,929,255
4617,929,255
4619,929,255
4622,929,255
4625,930,255
4627,929,255
4630,929,255
4633,929,255
4635,929,255
4638,929,255
4640,929,255
4643,929,255
4646,929,255
4648,930,255
4652,929,255
4655,929,255
4657,929,255
4660,930,255
4663,930,255
4665,929,255
4668,929,255
4671,929,255
4673,929,255
4676,929,255
4679,929,255
4681,929,255
4684,929,255
4687,930,255
4689,929,255
4692,929,255
4696,929,255
4698,929,255
4701,930,255
4704,929,255
4706,929,255
4709,929,255
4712,930,255
4714,929,255
4717,929,255
4720,929,255
4722,929,255
4725,930,255
4727,929,255
4730,929,255
4733,929,255
4736,930,255
4739,929,255
4742,929,255
4744,929,255
4747,930,255
4750,930,255
4752,929,255
4755,929,255
4758,929,255
4760,929,255
4763,929,255
4766,929,255
4768,929,255
4771,930,255
4774,929,255
4776,929,255
4780,929,255
4783,929,255
4785,929,255
4788,929,255
4791,929,255
4793,929,255
4796,929,255
4799,929,255
4801,929,255
4804,929,255
4807,929,255
4809,929,255
4812,929,255
4814,929,255
4817,929,255
4820,929,255
4823,929,255
4826,930,255
4829,929,255
4831,929,255
4834,929,255
4837,929,255
4839,929,255
4842,929,255
4845,929,255
4847,929,255
4850,929,255
4853,929,255
4855,929,255
4858,929,255
4861,929,255
4864,929,255
4867,929,255
4870,929,255
4872,929,255
4875,930,255
4878,929,255
4880,929,255
4883,929,255
4886,929,255
4888,929,255
4891,929,255
4894,929,255
4896,929,255
4899,930,255
4901,929,255
4904,929,255
4908,929,255
4910,929,255
4913,929,255
4916,930,255
4918,929,255
4921,929,255
4924,929,255
4926,929,255
4929,929,255
4932,929,255
4934,929,255
4937,929,255
4940,929,255
4942,929,255
4945,929,255
4948,929,255
4951,929,255
4954,929,255
4957,929,255
4959,929,255
4962,929,255
4965,929,255
