998,392,60,
1000,393,60,
1003,393,60,
1005,394,60,
1008,394,-60,
1011,394,-60,
1014,395,-60,
1017,395,-60,
1019,394,-60,
1022,394,-60,
1026,392,-60,
1029,393,-60,
1032,392,-60,
1034,392,-60,
1037,391,-60,
1040,390,-60,
1043,390,-60,
1046,389,-60,
1049,388,-60,
1051,388,60,
1054,387,60,
1057,387,60,
1059,387,60,
1062,387,60,
1065,387,60,
1068,387,60,
1071,387,60,
1074,387,60,
1076,388,60,
1079,388,60,
1082,389,60,
1084,389,60,
1087,390,60,
1090,390,-60,
1092,390,-60,
1095,390,-60,
1098,390,-60,
1101,390,-60,
1104,390,-60,
1107,389,-60,
1110,389,-60,
1113,388,-60,
1116,387,-60,
1119,387,-60,
1122,386,-60,
1125,386,60,
1127,385,60,
1130,385,60,
1132,385,60,
1135,385,60,
1138,385,60,
1140,385,60,
1143,385,60,
1146,386,60,
1148,386,60,
1152,386,60,
1155,387,-60,
1157,387,-60,
1160,387,-60,
1163,387,-60,
1166,387,-60,
1169,387,-60,
1172,386,-60,
1174,385,-60,
1177,385,-60,
1180,384,60,
1183,384,60,
1185,384,60,
1188,384,60,
1191,384,60,
1193,384,60,
1197,384,60,
1200,384,60,
1202,385,60,
1205,385,60,
1208,385,60,
1210,386,60,
1213,386,-60,
1216,386,-60,
1219,387,-60,
1221,387,-60,
1224,386,-60,
1227,386,-60,
1230,386,-60,
1233,385,-60,
1236,384,-60,
1239,384,-60,
1242,383,-60,
1245,383,60,
1248,382,60,
1250,381,60,
1253,382,60,
1256,382,60,
1258,382,60,
1261,382,60,
1264,383,60,
1266,383,60,
1269,383,60,
1272,384,60,
1274,384,60,
1277,384,60,
1281,385,60,
1283,385,60,
1286,385,-60,
1289,386,-60,
1291,385,-60,
1294,386,-60,
1297,386,-60,
1300,385,-60,
1303,384,-60,
1306,384,-60,
1308,384,-60,
1311,383,-60,
1314,382,-60,
1317,381,-60,
1320,381,-60,
1324,380,-60,
1326,379,-60,
1329,379,60,
1332,378,60,
1334,378,60,
1337,378,60,
1340,378,60,
1342,378,60,
1345,378,60,
1348,378,60,
1350,379,60,
1353,379,60,
1356,380,60,
1358,380,60,
1361,380,-60,
1364,381,-60,
1368,381,-60,
1370,381,-60,
1373,381,-60,
1376,380,-60,
1379,380,-60,
1382,379,-60,
1385,378,-60,
1387,378,-60,
1390,378,-60,
1393,377,-60,
1396,376,-60,
1399,376,60,
1401,375,60,
1404,375,60,
1408,375,60,
1410,375,60,
1413,375,60,
1416,375,60,
1418,375,60,
1421,376,60,
1424,376,60,
1426,376,60,
1429,377,-60,
1432,377,-60,
1435,378,-60,
1437,377,-60,
1440,377,-60,
1443,377,-60,
1446,376,-60,
1449,376,-60,
1453,375,-60,
1455,375,-60,
1458,374,-60,
1461,373,-60,
1464,373,-60,
1467,372,-60,
1469,371,-60,
1472,370,-60,
1475,370,-60,
1478,369,60,
1481,369,60,
1483,368,60,
1486,368,60,
1489,368,60,
1491,368,60,
1495,368,60,
1498,369,60,
1500,369,60,
1503,369,60,
1505,370,60,
1508,371,60,
1511,371,60,
1513,371,60,
1516,372,60,
1519,372,60,
1521,372,60,
1524,373,60,
1527,373,-60,
1530,374,-60,
1532,374,-60,
1536,374,-60,
1539,374,-60,
1542,373,-60,
1545,372,-60,
1547,372,-60,
1550,372,-60,
1553,371,-60,
1556,369,-60,
1559,369,-60,
1562,369,-60,
1564,368,-60,
1567,367,-60,
1570,367,-60,
1573,366,60,
1576,366,60,
1579,365,60,
1582,365,60,
1585,365,60,
1587,366,60,
1590,366,60,
1592,366,60,
1595,366,60,
1598,367,60,
1600,367,60,
1603,367,60,
1606,368,60,
1608,368,60,
1611,369,60,
1614,369,-60,
1617,369,-60,
1619,369,-60,
1623,369,-60,
1626,369,-60,
1629,368,-60,
1632,367,-60,
1634,367,-60,
1637,367,-60,
1640,366,-60,
1643,366,-60,
1646,365,-60,
1649,365,-60,
1652,364,60,
1654,363,60,
1657,363,60,
1659,363,60,
1662,362,60,
1666,363,60,
1668,363,60,
1671,363,60,
1674,364,60,
1676,364,60,
1679,364,60,
1682,365,60,
1684,366,60,
1687,366,60,
1690,366,60,
1692,367,60,
1695,367,60,
1698,367,-60,
1700,367,-60,
1703,368,-60,
1707,368,-60,
1710,367,-60,
1713,367,-60,
1716,367,-60,
1718,366,-60,
1721,366,-60,
1724,365,-60,
1727,365,-60,
1730,364,-60,
1732,364,-60,
1735,362,-60,
1738,362,-60,
1741,362,-60,
1744,361,60,
1746,361,60,
1750,360,60,
1753,360,60,
1755,360,60,
1758,360,60,
1761,361,60,
1763,361,60,
1766,361,60,
1769,361,60,
1771,362,60,
1774,362,60,
1777,362,60,
1779,362,60,
1782,363,-60,
1785,363,-60,
1788,364,-60,
1790,364,-60,
1794,363,-60,
1797,362,-60,
1800,362,-60,
1803,362,-60,
1805,361,-60,
1808,361,-60,
1811,361,-60,
1814,360,-60,
1817,359,-60,
1820,358,60,
1822,358,60,
1825,356,60,
1828,357,60,
1830,357,60,
1833,357,60,
1837,357,60,
1839,358,60,
1842,358,60,
1845,359,60,
1847,360,60,
1850,359,60,
1852,360,60,
1855,361,60,
1858,360,60,
1861,361,-60,
1863,361,-60,
1866,361,-60,
1869,362,-60,
1872,361,-60,
1875,361,-60,
1878,361,-60,
1881,360,-60,
1884,360,-60,
1887,359,-60,
1890,358,-60,
1892,357,-60,
1895,357,-60,
1898,356,-60,
1901,355,-60,
1904,354,-60,
1907,354,-60,
1910,354,60,
1912,353,60,
1915,353,60,
1917,353,60,
1921,353,60,
1924,353,60,
1926,353,60,
1929,353,60,
1932,354,60,
1934,354,60,
1937,355,-60,
1940,355,-60,
1943,355,-60,
1945,354,-60,
